Order ID,Customer Name,Segment,City,State,Country,Region,Product Name,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Salesperson,Order Date,Ship Date,Ship Mode,Payment
CA-2023-000530,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,Central,Logitech MX Master Mouse, Technology,Accessories,11,96.18,0.1,952.18,Farah,10/15/2022,2022-10-17,Second Class,Net 30
CA-2023-000495,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Bush Somerset Bookcase,Bookcases,Bookcases,14,151.0,0.0,2114.0,Farah,11/15/2023,2023-11-20,First Class,PayPal
CA-2022-000395,Pete Kriz,Consumer,Madison,Wisconsin,United States,East,Hon 5400 Series Chair,Chairs,Chairs,1,220.08,0.0,220.08,Diana,"February 22, 2022",2022-02-28,Standard Class,Net 30
CA-2024-001865,Priya Kumaran,Corporate,Austin,Texas,United States,Central,Staples,OFFICE SUPPLIES,Fasteners,2,2.84,0.0,5.68,Carlos,2023-02-17,2023-02-20,Second Class,Debit Card
CA-2024-001491,Brosina Hoffman,Consumer,Los Angeles,California,United States,Central,Avery Binders,Office Supplies,Binders,13,13.17,0.0,171.21,Farah,"Jun 16, 2023",2023-06-23,Same Day,Bank Transfer
CA-2024-000484,Julia West,Home Office,Charlotte,North Carolina,United States,Central,Samsung 27in Monitor,TECHNOLOGY,Machines,10,363.16,,2542.12,Anna,"April 07, 2022",2022-04-11,Standard Class,Net 30
CA-2023-001092,Ranjit Bhatia,Consumer,Houston,Texas,United States,South,Canon PC1080F Copier,Technology,Copiers,3,462.84,0.0,1388.52,Anna,"Oct 24, 2022",2022-10-29,Same Day,Bank Transfer
CA-2021-000788,Ranjit Bhatia,Consumer,Houston,Texas,United States,Central,Xerox 1967,Office Supplies,Paper,6,6.37,0.0,38.22,Farah,"February 01, 2023",2023-02-04,Standard Class,Net 30
CA-2021-000614,Darrin Van Huff,Corporate,Los Angeles,California,United States,Central,Avery Binders,Office supplies ,Binders,1,12.18,,8.53,Ethan,2021-05-14,2021-05-17,Same Day,Credit Card
CA-2023-001008,Zuschuss Donatelli,Corporate,San Francisco,California,United States,South,Avery Binders,office supplies,Binders,10,12.85,,128.5,,2024-03-24,2024-03-26,Standard Class,Net 30
CA-2024-001234,Harold Pawlan,Home Office,Fort Worth,Texas,United States,,Logitech MX Master Mouse,technology,Accessories,1,81.7,0.1,73.53,Ethan,04/19/2021,2021-04-24,First Class,Credit Card
CA-2024-001456,Ranjit Bhatia,Consumer,Houston,Texas,United States,West,Canon PC1080F Copier,technology,Copiers,12,490.7,0.0,5888.4,Bob,"Sep 12, 2022",2022-09-19,Second Class,PayPal
CA-2023-001358,Ranjit Bhatia,Consumer,Houston,Texas,United States,South,Eldon File Cart,Office supplies ,Storage,13,23.64,0.0,307.32,Diana,2022-08-23,2022-08-30,Second Class,Net 30
CA-2024-001850,Claire Gute,Consumer,Henderson,Kentucky,United States,Central,Eldon File Cart,OFFICE SUPPLIES,Storage,15,$22.99,,241.39,Carlos,"September 12, 2022",2022-09-19,Same Day,PayPal
CA-2021-001818,Zuschuss Donatelli,Corporate,San Francisco,California,United States,Central,Acco 5-Section Folders,Office supplies ,Storage,6,4.22,0.2,20.26,Ethan,"May 12, 2024",2024-05-18,Same Day,PayPal
CA-2021-001453,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,United States,Central,Xerox 1967,Office Supplies,Paper,10,$6.75,0.0,67.5,Diana,"Aug 31, 2021",2021-09-05,First Class,PayPal
CA-2024-001029,Darrin Van Huff,Corporate,Los Angeles,California,United States,East,Eldon File Cart,office supplies,Storage,11,23.45,0.2,206.36,Ethan,12/29/2021,2022-01-03,Standard Class,Bank Transfer
CA-2024-000125,Pete Kriz,Consumer,Madison,Wisconsin,United States,Central,Ikea Galant Desk,FURNITURE,Tables,12,332.66,0.0,3991.92,Farah,"July 05, 2023",2023-07-07,Standard Class,Credit Card
